Season,SeasonEndYear,Team,FG,FGA,3P,3PA,2P,2PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Trp-Dbl,FG%,3P%,2P%,FT%,eFG%,WINS,LOSSES
2005-2006,2006,SEA,3077.0,6711.0,605.0,1631.0,2472.0,5080.0,1652.0,2104.0,1013.0,2233.0,3246.0,1696.0,622.0,306.0,1150.0,1933.0,8411.0,0.0,0.4585009685590821,0.3709380748007357,0.4866141732283464,0.785171102661597,0.5035762181493071,35.0,47.0
2005-2006,2006,TOR,3013.0,6639.0,608.0,1620.0,2405.0,5019.0,1653.0,2089.0,864.0,2291.0,3155.0,1593.0,529.0,272.0,1023.0,1965.0,8287.0,0.0,0.4538334086458804,0.3753086419753086,0.4791791193464834,0.791287697462901,0.4996234372646483,27.0,55.0
2005-2006,2006,UTA,2744.0,6207.0,311.0,925.0,2433.0,5282.0,1774.0,2466.0,1071.0,2380.0,3451.0,1772.0,524.0,492.0,1211.0,2032.0,7573.0,2.0,0.4420815208635412,0.3362162162162162,0.4606209769026884,0.7193836171938361,0.4671338811019816,41.0,41.0
2005-2006,2006,WAS,2975.0,6656.0,497.0,1394.0,2478.0,5262.0,1889.0,2496.0,1035.0,2344.0,3379.0,1523.0,658.0,339.0,1100.0,1855.0,8336.0,0.0,0.4469651442307692,0.3565279770444763,0.4709236031927024,0.7568108974358975,0.4842998798076923,42.0,40.0
2006-2007,2007,ATL,2831.0,6372.0,341.0,1038.0,2490.0,5334.0,1677.0,2203.0,976.0,2312.0,3288.0,1573.0,609.0,446.0,1246.0,1970.0,7680.0,0.0,0.4442875078468298,0.3285163776493256,0.4668166479190101,0.7612346799818429,0.471045197740113,30.0,52.0
2006-2007,2007,BOS,2858.0,6454.0,471.0,1283.0,2387.0,5171.0,1670.0,2178.0,918.0,2391.0,3309.0,1630.0,589.0,382.0,1285.0,1971.0,7857.0,1.0,0.4428261543229005,0.3671083398285268,0.4616128408431638,0.7667584940312213,0.4793151533932445,24.0,58.0
2006-2007,2007,CHA,2960.0,6643.0,457.0,1280.0,2503.0,5363.0,1568.0,2136.0,920.0,2346.0,3266.0,1836.0,638.0,369.0,1173.0,1985.0,7945.0,0.0,0.4455818154448291,0.35703125,0.466716390080179,0.7340823970037453,0.4799789251844046,,
2006-2007,2007,CHI,3046.0,6663.0,480.0,1237.0,2566.0,5426.0,1528.0,2083.0,984.0,2597.0,3581.0,1832.0,639.0,445.0,1263.0,1908.0,8100.0,0.0,0.4571514332883086,0.3880355699272433,0.4729082196830077,0.7335573691790687,0.4931712441843013,49.0,33.0
2006-2007,2007,CLE,2978.0,6658.0,494.0,1404.0,2484.0,5254.0,1484.0,2133.0,1039.0,2529.0,3568.0,1708.0,625.0,353.0,1127.0,1781.0,7934.0,1.0,0.4472814659056773,0.3518518518518518,0.4727826417967263,0.6957337083919363,0.4843796936016822,50.0,32.0
2006-2007,2007,DAL,3010.0,6442.0,535.0,1404.0,2475.0,5038.0,1646.0,2045.0,920.0,2515.0,3435.0,1632.0,560.0,408.0,1075.0,1837.0,8201.0,0.0,0.4672461968332816,0.381054131054131,0.4912663755458515,0.8048899755501222,0.5087705681465383,67.0,15.0
