iteration,feature_method,n_features,feature_cols,model_type,model_params,preprocessor,val_exact,val_within1,test_exact,test_within1,test_overall
62,trend_only,4,"PREV_WIN_PCT,WIN_PCT_3Y_AVG,WIN_PCT_5Y_AVG,WIN_PCT_TREND",xgb,"{""learning_rate"": 0.01, ""max_depth"": 5, ""n_estimators"": 50}",standard,0.05555555555555555,0.13333333333333333,0.45,0.6666666666666666,0.6016666666666666
63,advanced,12,"PREV_WIN_PCT,EFG_FACTOR,TOV_FACTOR,OREB_FACTOR,FTR_FACTOR,WIN_PCT_3Y_AVG,WIN_PCT_TREND,PTS_3Y_AVG,AST_3Y_AVG,TRB_3Y_AVG,STL_3Y_AVG,BLK_3Y_AVG",lgb,"{""learning_rate"": 0.01, ""max_depth"": 5, ""n_estimators"": 300}",none,0.07777777777777778,0.2,0.4,0.7166666666666667,0.6216666666666666
66,trend_only,4,"PREV_WIN_PCT,WIN_PCT_3Y_AVG,WIN_PCT_5Y_AVG,WIN_PCT_TREND",lgb,"{""learning_rate"": 0.05, ""max_depth"": 3, ""n_estimators"": 100}",standard,0.05555555555555555,0.13333333333333333,0.5333333333333333,0.7333333333333334,0.6733333333333332
67,stats_only,18,"FG,FGA,3P,3PA,2P,2PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,PREV_WIN_PCT",lgb,"{""learning_rate"": 0.05, ""max_depth"": 3, ""n_estimators"": 200}",standard,0.05555555555555555,0.1,0.08333333333333334,0.21666666666666667,0.17666666666666664
68,basic,13,"PTS,FGA,FTA,TRB,AST,STL,BLK,TOV,PF,TS_PCT,EFG_PCT,AST_TO_RATIO,PREV_WIN_PCT",lgb,"{""learning_rate"": 0.01, ""max_depth"": 10, ""n_estimators"": 300}",none,0.12222222222222222,0.24444444444444444,0.06666666666666667,0.21666666666666667,0.17166666666666663
69,basic,13,"PTS,FGA,FTA,TRB,AST,STL,BLK,TOV,PF,TS_PCT,EFG_PCT,AST_TO_RATIO,PREV_WIN_PCT",lgb,"{""learning_rate"": 0.1, ""max_depth"": 3, ""n_estimators"": 300}",none,0.14444444444444443,0.28888888888888886,0.05,0.18333333333333335,0.1433333333333333
70,stats_only,18,"FG,FGA,3P,3PA,2P,2PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,PREV_WIN_PCT",lgb,"{""learning_rate"": 0.1, ""max_depth"": 10, ""n_estimators"": 200}",minmax,0.36666666666666664,0.5888888888888889,0.08333333333333334,0.23333333333333334,0.18833333333333332
73,advanced,12,"PREV_WIN_PCT,EFG_FACTOR,TOV_FACTOR,OREB_FACTOR,FTR_FACTOR,WIN_PCT_3Y_AVG,WIN_PCT_TREND,PTS_3Y_AVG,AST_3Y_AVG,TRB_3Y_AVG,STL_3Y_AVG,BLK_3Y_AVG",xgb,"{""learning_rate"": 0.01, ""max_depth"": 7, ""n_estimators"": 100}",robust,0.12222222222222222,0.3,0.2,0.6,0.48
76,stats_only,18,"FG,FGA,3P,3PA,2P,2PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,PREV_WIN_PCT",lgb,"{""learning_rate"": 0.05, ""max_depth"": 7, ""n_estimators"": 300}",none,0.1111111111111111,0.37777777777777777,0.13333333333333333,0.25,0.215
77,advanced,12,"PREV_WIN_PCT,EFG_FACTOR,TOV_FACTOR,OREB_FACTOR,FTR_FACTOR,WIN_PCT_3Y_AVG,WIN_PCT_TREND,PTS_3Y_AVG,AST_3Y_AVG,TRB_3Y_AVG,STL_3Y_AVG,BLK_3Y_AVG",xgb,"{""learning_rate"": 0.01, ""max_depth"": 3, ""n_estimators"": 200}",standard,0.03333333333333333,0.07777777777777778,0.43333333333333335,0.7666666666666666,0.6666666666666666
